hypothesis_id,D_sd_TminusF,mean_K,mean_I
1,0.4309257331537283,0.20214389839672645,0.23247487806311334
2,0.3745561675596653,0.176697930260424,0.19430386232881225
3,0.414671933185904,0.14565275355313448,0.18798239109885437
4,0.41632654302931854,0.1975394256546309,0.22531716447214534
5,0.27348388730366857,0.1828449582066275,0.3289174361929779
6,0.4121056361193998,0.21218519400877683,0.32566822632839754
7,0.3699270006049586,0.2121173805532829,0.3543432497812392
8,0.6324378207608405,0.1968138531929698,0.30125475886949205
9,0.45093881255097273,0.26095244748857155,0.26942187069896045
10,0.3953340862846636,0.22545424772720948,0.3252707644143631
11,0.4386558919348041,0.16647214638696387,0.15557359307359309
12,0.39417688567453635,0.17790967176646874,0.18449415424010215
13,0.4090964253700278,0.19187154642704213,0.18715080867179554
14,0.3005442607211402,0.2168485612565328,0.3390952356896629
15,0.19617423765036074,0.17896926131903762,0.3529028853742021
16,0.24348966041506273,0.19279565118670688,0.3666931113161308
17,0.26521361654986303,0.20486137869410492,0.3567655404046772
18,0.24239282779717355,0.18211749493528195,0.38688011526232957
19,0.3406927982036625,0.20083483607510633,0.36583287031065215
20,0.3315590000544957,0.2340974179013445,0.3201268742791234
21,0.3377935662356014,0.20737178813788562,0.360988343644053
22,0.44277470471485453,0.22174496752799638,0.3419358133822712
23,0.3609385670429362,0.22957422589906437,0.3155349752030685
24,0.27085876498792577,0.21011625954937707,0.3424245362986029
25,0.31021936256185717,0.21614747487405364,0.3266133376427494
26,0.2204188358335345,0.2106627988974207,0.342934889344924
27,0.25207157367437705,0.19804997743686112,0.36779245750159584
28,0.5981514261388599,0.2708705701274889,0.22099653998442928
29,0.2895885478610638,0.20925668075246465,0.354697681211522
30,0.5533114300366168,0.2802359235384118,0.2281249323431986
